Births attended by skilled health staff (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,99.1,,,,,,99.4,99.8,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,45.4,,,,,44.3,,,,,41.6,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,85,,,,88.9,,,63,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,97.1,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,100,,,100,,,100,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,100,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,99,99,99,99,99,99,,97.9,97.6,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,20.3,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,100,100,100,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,93,,,98,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,,59.8,,,,55.4,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,,,,,,,,,,,,,,50.9,,,,,,,46.3,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4,,,,99,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,100,100,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.9,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,47.3,,,46.2,,,,51.3,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,,55.6,,60.5,,56.1,,53.6,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,,,,,96.8,97,97.4,,98,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,70.3,,,84,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,40.6,,,,,49,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,100,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,,,,95,,,,,86.2,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,56.9,,,,,,60.9,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1,94.4,96.1,96.2,97.4,98.1,97.2,97.4,98.1,98.5,99.7,98.9,98.8,98.4,99.2,99.2,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,85.7,,,,,,95,83.3,,93.4,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,87.7,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,,,,,99.5,,,,
