Mobile cellular subscriptions (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Suriname,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254058334,0.321409551,0.387067761,0.546756012,0.503998732,1.322338428,3.798938468,8.786673574,18.36136431,22.5480037,34.58273223,43.10328066,46.5794513,63.33084628,74.45637053,80.75725456,
Swaziland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451668145,1.318009279,3.056432865,5.034818055,6.175092944,7.67226953,13.00442599,17.78710613,21.99325775,33.00332899,45.52385014,
Sweden,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0.244735577,0.327159159,0.435649982,0.694662349,0.874251497,1.345280765,2.05976902,2.880512091,4.109266455,5.388479963,6.593636132,7.568066451,8.883306953,15.72767547,22.73808176,28.18048174,35.8101877,46.41993719,57.87251338,71.84913745,80.706094,89.0744061,98.26931666,97.69801893,100.8860776,105.7980806,111.2472415,118.1391415,
Switzerland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.083651642,0.468381793,1.094253046,1.863036353,2.567014706,3.12816,3.714370135,4.749285102,6.350901861,9.368292338,14.7344667,23.88980309,42.8222549,64.56536102,72.97276805,78.74458843,84.33077956,84.91364978,91.89378925,99.36160581,108.710857,116.3321663,
Syria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024859092,0.18169858,1.1791971,2.293809335,6.600979585,12.67307375,15.42769708,23.85668759,31.04504378,34.28433322,
Tajikistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001741096,0.005386638,0.006975131,0.010247456,0.018791843,0.026110121,0.20917409,0.746428572,2.091957493,4.054754176,32.44269338,31.70284644,53.73720594,
Tanzania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001275782,0.011677643,0.029322065,0.063834287,0.116907369,0.153116751,0.323802378,0.786725411,1.687708362,5.258647469,5.117869651,8.690121779,14.3742829,20.16381156,30.61580024,
Thailand,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.001535554,0.010827773,0.031857389,0.071431262,0.111557581,0.21511641,0.430659889,0.70206293,1.237812271,2.158005972,3.042900291,3.611621118,3.219840316,3.783969315,4.901613109,11.9857892,15.95926861,33.83014006,41.9412134,47.21543907,61.23182987,79.1288552,92.00671892,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06323627,0.152791968,0.334539183,0.952837225,1.757995131,2.973760397,4.27533064,5.691397931,7.236802579,11.52175162,18.89246797,23.99189918,
Tonga,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3080778,0.309160149,0.122607869,0.132623289,0.142515397,0.182579853,0.238138484,3.362439724,11.14705151,16.20473297,29.32105733,29.319479,45.14097763,48.73414055,
Trinidad and Tobago,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034704628,0.10323363,0.134662798,0.206893148,0.502363155,0.749525945,1.340547575,2.048056577,2.996975039,12.49787661,19.70047669,20.14158869,25.69310236,49.57157016,70.0978533,114.7851218,113.6712703,112.8703723,
Tunisia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0.002914863,0.005103327,0.00799126,0.011686942,0.014895049,0.023251157,0.026208792,0.030730313,0.035556796,0.071512658,0.083081932,0.417837207,0.584375892,1.24603963,4.023403903,5.871395128,19.48748958,37.61120172,56.64299531,72.46222885,76.69742993,83.29134956,
Turkey,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.000698363,0.009584852,0.018178247,0.028315302,0.056714502,0.08379228,0.105689,0.14240621,0.290536189,0.714193532,1.295013599,2.5418639,5.444665621,12.41031517,24.27551526,29.02090884,34.09905548,40.22465718,49.40564061,61.27519191,73.05342442,84.89402241,89.05468579,
Turkmenistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057743135,0.068390191,0.090041541,0.166602728,0.178998424,0.176380355,0.195307642,1.049391793,2.167993926,4.416252824,7.668081198,22.50666089,
Uganda,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008337474,0.018503793,0.02243335,0.13057893,0.237929816,0.519436072,1.124369852,1.510678164,2.886416284,4.193955205,4.583045797,6.774706666,13.69325818,27.02372455,
Ukraine,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124571,0.009630007,0.027177976,0.058757641,0.11305665,0.23033691,0.435982272,1.664483764,4.569481119,7.660805975,13.59134502,28.94528319,63.71596312,104.8912162,118.7726769,120.3991076,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,0.197384026,0.283841578,0.37080079,0.561835993,0.748901509,0.866462632,0.825574103,1.409897883,1.798420317,2.1862668,2.362402456,3.237227613,3.977860196,5.303979012,7.525496982,11.32852665,17.0385694,27.15352677,44.10411315,55.93140599,67.6187129,78.93534662,93.65155203,110.8854859,130.4015299,177.1691599,208.6481744,
United Kingdom,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.088416909,0.229352145,0.510544945,0.983693057,1.708227341,1.945933581,2.194170239,2.617209886,3.929408284,6.808864208,9.886040839,12.4612946,15.16025657,25.43807022,46.32559238,73.78187319,78.30151937,82.97647617,91.08164317,99.67944317,108.7090633,115.6307936,121.0820595,125.9806125,
United States,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,,0.038842362,0.1429923,0.283936402,0.508011094,0.846400599,1.42166689,2.116413552,2.987239358,4.301033472,6.159403891,9.17219127,12.68811543,16.34891349,20.28640086,25.08911236,30.83679759,38.79833293,45.07475042,49.26964184,55.3298678,63.06825823,72.01955686,80.97979524,87.20737449,88.87063655,
Uruguay,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054371991,0.156686384,0.213647923,1.239950494,2.42929407,3.047587866,4.622825708,9.703513461,12.44489518,15.71750239,15.52134984,15.06051281,18.16525387,34.93707731,70.29823205,90.38531776,105.2117963,
Uzbekistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002278735,0.004030925,0.016374808,0.040947255,0.072810242,0.111537982,0.165528689,0.215529412,0.512724797,0.739559509,1.254766756,2.103664862,2.751518504,9.553666493,20.89128622,46.62030044,
Vanuatu,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038094104,0.070258971,0.087542279,0.115510814,0.120641814,0.161490015,0.192385741,0.180127324,2.457027097,3.805713449,4.985831391,5.864089153,6.750675068,11.40305865,15.39343043,
Venezuela,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009554506,0.019098617,0.037579747,0.082190424,0.3802701,0.864542399,1.478015104,1.831874064,2.585103546,4.66875735,8.583936275,15.85760674,22.40620295,26.13601454,25.93931007,27.32383345,32.23094883,47.01704858,69.51080611,86.67224102,96.95306963,
Vietnam,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001159593,0.005771284,0.0174388,0.032200603,0.092745626,0.212638484,0.291035024,0.424009547,1.015720921,1.59011537,2.386115689,3.389269045,6.046443021,11.54328854,18.42880523,27.86710806,81.19634133,
Virgin Islands (U.S.),0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,14.76627751,23.03404432,27.6253269,32.21679139,37.70218949,41.45130046,45.16802873,58.70841487,73.26642336,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.808189845,0.965998041,1.477913688,3.568498558,4.032439243,5.856598774,9.644864179,9.936221976,14.39491118,28.22129629,30.62188751,22.20359131,26.76971493,29.28396019,
"Yemen, Rep.",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011437268,0.036333529,0.054989186,0.053147084,0.054717214,0.073593897,0.094144268,0.156731184,0.176231826,0.789644888,2.524809086,3.402445706,7.261438984,10.83329703,13.76202498,15.42930884,16.14487803,
Zambia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016985331,0.029032033,0.047166604,0.083222756,0.276361928,0.944400254,1.130212089,1.267671292,2.148149205,4.047618093,8.08931721,13.83860085,21.43120375,28.04232637,
Zimbabwe,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047420648,0.155132105,1.40657709,2.139167051,2.51153258,2.706407954,2.906838113,3.408060183,5.187219581,6.815330364,9.845228042,13.27719703,
