Mobile cellular subscriptions (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Estonia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036515054,0.162948467,0.483534137,0.941490089,2.119137091,4.90819209,10.3,17.81849661,28.13216933,40.67140339,47.73852292,64.84420757,77.59330368,93.08616605,107.3694376,123.4567901,147.7148662,188.2980588,
Ethiopia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010566297,0.027103871,0.040878619,0.072936591,0.072409034,0.213803534,0.549993363,1.131053175,1.536627461,2.421563429,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144968983,0.286482207,0.476834848,0.663980101,1.013068585,2.937968404,6.867694257,10.02478543,11.06246416,13.43644036,17.27944974,24.75707871,34.15945664,63.19883534,71.08617303,
Finland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.49125523,0.589125,0.701885229,0.869563427,1.065342073,1.379824561,1.734444896,2.145955808,2.790547364,3.829725917,5.17192138,6.364918229,7.656108687,9.656020529,13.27500491,20.34310885,29.30737561,42.07477477,55.22967204,63.37173139,72.03405337,80.48555692,86.8510309,91.06330176,95.40672159,100.4555765,107.6663778,114.9616542,128.5429534,
France,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.016346536,0.070526694,0.17595734,0.316110284,0.499162774,0.658154535,0.762897368,0.995310556,1.531359042,2.251739161,4.244131941,9.993987081,19.19603411,36.56189126,49.32864453,62.50362146,64.74195986,69.32441741,73.60072617,78.99725658,84.20510879,89.37596515,93.08668989,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028327551,0.117576974,0.245162761,0.36885159,0.609610692,0.829073785,0.824595294,0.737981346,9.729124946,11.89076666,21.66757695,22.79645652,36.44646127,53.80327177,64.34355369,82.21497986,89.76914828,
Gambia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021077124,0.045445279,0.077734592,0.132916946,0.274826968,0.404846528,0.416145935,0.42209933,0.430170962,4.0909523,7.187119532,10.39461235,11.81429814,16.21596474,25.73998191,49.54293072,70.24069389,
Georgia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002959221,0.046075232,0.609303331,1.233971482,2.773743293,4.10434691,6.430541331,10.880059,15.5519714,18.60439949,26.30298331,38.62938293,59.65578953,63.96749393,
Germany,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.001389997,0.030619597,0.062624615,0.126385903,0.207764882,0.343193635,0.66519734,1.205459913,2.186379319,3.055228421,4.562602582,6.729172771,10.0839517,16.95735371,28.56237894,58.63276974,68.16950676,71.66335386,78.50643922,86.43388423,96.12171302,103.9763172,116.9772359,128.5141144,
Ghana,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002523209,0.010676532,0.019877864,0.035951483,0.072112108,0.120427178,0.224355871,0.367270496,0.665896713,1.219034127,1.889018278,3.796448667,7.907532902,13.11676004,23.25353192,33.24762496,49.55019559,
Greece,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458627938,1.449824694,2.567237164,4.967784107,8.700937181,18.89247808,35.87246164,54.33847493,72.72856954,84.77103631,81.06464796,84.29348882,92.40270173,98.48737853,109.8469788,122.8016781,
Greenland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309222423,0.793478261,1.736936937,3.677419355,7.373881932,11.57321429,15.8627451,24.10160428,26.89323843,28.18456078,35.20141343,52.40729323,68.58483272,81.63695442,94.93782365,117.4078331,99.0910382,
Grenada,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15595758,0.152552927,0.186361624,0.287060883,0.352332441,0.399341087,0.566262666,0.967102656,1.395763215,1.990404115,4.248675994,6.325319027,7.431568176,41.50319421,42.38311447,45.71512195,44.92477364,49.80275083,57.9709865,
