"Murder per 100,000, age adjusted",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Qatar,,,,,,,1.413354,,0.931163013,0.838196991
Reunion,,,,,,1.921,1.967,2.134,2.611,2.702
Romania,3.56062,3.505577,3.074771,3.308062,3.330809,3.137206,3.301978,3.478905,2.828714,2.27234
Russia,25.31057,22.62991,21.58119,24.42798,26.14551,27.12315,27.95784,26.08022,24.34952,22.11637
Rwanda,,,,,,,25.38679,,34.3848381,34.3848381
Saint Kitts and Nevis,,,,,,,12.07877,,11.32761383,11.32761383
Saint Lucia,9.873,9.935,10.297,11.272,19.508,17.853,7.342349,,22.40785027,22.40785027
Saint Vincent and the Grenadines,,,,,12.907,10.959,14.58163,9.616,16.57776642,16.57776642
Samoa,,,,,,,1.063751,,1.035062551,1.035062551
San Marino,,,,,,,0,,0,
Sao Tome and Principe,,,,,,,5.337597,,6.294122219,6.294122219
Saudi Arabia,,,,,,,2.853259,,3.138149738,2.794184353
Senegal,,,,,,,13.2608,,17.15166855,17.15166855
Serbia,,,3.208708,3.012695,2.524775,2.657624,2.104964,2.195288,1.628466,1.945646
Serbia and Montenegro,,2.990811,2.648738,2.431323,2.111734,2.704244,2.153355,,2.615807533,2.615807533
Seychelles,,,,,,,3.491718,,3.226769209,3.226769209
Sierra Leone,,,,,,,60.71098,,39.78190994,39.78190994
Singapore,0.5445764,0.9213319,0.7040512,0.9411684,1.081257,0.7526584,0.6338096,0.7694505,0.5995114,0.5392558
Slovak Republic,1.903759,2.522231,1.991744,2.263085,2.042834,1.924713,2.0758,1.793732,1.603952,1.447291
Slovenia,2.055285,2.047146,0.9227628,1.321307,0.9669458,0.7495914,1.357321,1.265802,1.755289,1.068586
Solomon Islands,,,,,,,1.467809,,1.211966634,1.211966634
Somalia,,,,,,,38.62496,,1.850624681,1.850624681
South Africa,,,,,,,45.60541,,70.84754944,70.84754944
Spain,0.8090152,0.7899951,0.8044699,0.7884014,0.925922,0.9197907,0.9529994,0.9422686,1.271933,0.8138936
Sri Lanka,,,,,,,7.810002,,6.769152164,5.950301804
Sudan,,,,,,,33.07623,,30.99819756,30.99819756
Suriname,6.409,7.413,10.883,11.17,8.06,,4.907821,,12.92808819,10.55114324
Swaziland,,,,,,,6.757167,,25.77063751,25.77063751
Sweden,1.168251,1.013073,1.10129,1.164987,1.006437,0.9226385,1.164675,0.8929303,1.081935,0.8964828
Switzerland,1.073634,1.341891,0.7992321,0.9771137,0.8315645,1.076498,0.9412885,0.6691455,0.8976272,0.9867374
Syria,,,,,,,3.163519,,3.045423031,3.068919959
Tajikistan,,,,,,,7.994594,,3.300565481,3.603290113
Tanzania,,,,,,,30.11056,,33.26519394,33.26519394
Thailand,9.731,6.086,8.061,11.305,8.634,,9.094048,,6.704381466,7.46439254
Timor-Leste,,,,,,,22.90244,,16.25145912,16.25145912
Togo,,,,,,,12.78982,,16.7136364,16.7136364
Tonga,,,,,,,0.7089299,,0.61610806,0.61610806
Trinidad and Tobago,10.13651,8.493176,8.686745,8.977898,11.99742,15.1188,13.30952,,12.90443611,12.90443611
Tunisia,,,,,,,2.296477,,1.732626796,1.732626796
Turkey,,,,,,,3.665506,,2.863645554,3.13938962
Turkmenistan,7.016544,6.305056,8.551657,,,,11.47042,,9.862192154,9.862192154
Tuvalu,,,,,,,2.153927,,1.924120665,1.924120665
Uganda,,,,,,,27.86223,,33.07697678,38.93825186
Ukraine,14.30472,12.36567,11.38498,11.72764,11.99343,11.37523,10.67148,9.911981,9.253424,8.444859
United Arab Emirates,,,,,,,0.8575909,,0.459561378,0.916743443
United Kingdom,0.8939682,0.6880592,0.7150413,0.77187,0.9370933,0.4269404,0.4645172,0.4746277,0.5013992,0.4350143
United States,8.094801,7.591979,6.926581,6.494246,6.204801,7.345334,6.389568,6.372896,6.173078,6.410039
Uruguay,4.431779,4.877281,5.848986,5.454373,5.741081,4.973733,5.720987,,4.574656,4.298429587
USSR,,,,,,,,,,
Uzbekistan,6.010993,4.710768,4.259888,3.712894,3.928299,3.776941,3.641898,2.531598,2.840008,3.20092
Vanuatu,,,,,,,1.089423,,1.013819337,1.013819337
Venezuela,15.08996,12.73583,12.18425,17.04455,26.05696,26.33243,29.30516,33.79287,27.62771,27.94007
Vietnam,,,,,,,4.877869,,4.341927052,4.341927052
Virgin Islands (U.S.),,,,27.238,22.788,31.367,43.276,35.912,,35.461
West Germany,,,,,,,,,,
"Yemen, Rep.",,,,,,,3.076941,,3.195386887,4.541511733
Yugoslavia,,,,,,,,,,
Zambia,,,,,,,5.119065,,30.48897171,30.48897171
Zimbabwe,,,,,,,13.58732,,37.71518707,37.71518707
